######## titanic
card    eps     acc
0.70     0.65    0.659
0.70     0.70    0.663
0.70     0.75    0.663
0.70     0.80    0.663
0.70     0.85    0.663
0.70     0.90    0.485
0.70     0.95    0.401
0.75     0.00    0.570
0.75     0.05    0.760
0.75     0.10    0.755
0.75     0.15    0.765
0.75     0.20    0.795
0.75     0.25    0.788
0.75     0.30    0.782
0.75     0.35    0.772
0.75     0.40    0.772
0.75     0.45    0.772
0.75     0.50    0.735
0.75     0.55    0.714
0.75     0.60    0.667
0.75     0.65    0.659
0.75     0.70    0.663
0.75     0.75    0.663
0.75     0.80    0.663
0.75     0.85    0.663
0.75     0.90    0.485
0.75     0.95    0.401
0.80     0.00    0.570
0.80     0.05    0.760
0.80     0.10    0.755
0.80     0.15    0.765
0.80     0.20    0.795
0.80     0.25    0.788
0.80     0.30    0.782
0.80     0.35    0.772
0.80     0.40    0.772
0.80     0.45    0.772
0.80     0.50    0.735
0.80     0.55    0.714
0.80     0.60    0.667
0.80     0.65    0.659
0.80     0.70    0.663
0.80     0.75    0.663
0.80     0.80    0.663
0.80     0.85    0.663
0.80     0.90    0.485
0.80     0.95    0.401
0.85     0.00    0.570
0.85     0.05    0.760
0.85     0.10    0.755
0.85     0.15    0.765
0.85     0.20    0.795
0.85     0.25    0.788
0.85     0.30    0.782
0.85     0.35    0.772
0.85     0.40    0.772
0.85     0.45    0.772
0.85     0.50    0.735
0.85     0.55    0.714
0.85     0.60    0.667
0.85     0.65    0.659
0.85     0.70    0.663
0.85     0.75    0.663
0.85     0.80    0.663
0.85     0.85    0.663
0.85     0.90    0.485
0.85     0.95    0.401
0.90     0.00    0.570
0.90     0.05    0.760
0.90     0.10    0.755
0.90     0.15    0.765
0.90     0.20    0.795
0.90     0.25    0.788
0.90     0.30    0.782
0.90     0.35    0.772
0.90     0.40    0.772
0.90     0.45    0.772
0.90     0.50    0.735
0.90     0.55    0.714
0.90     0.60    0.667
0.90     0.65    0.659
0.90     0.70    0.663
0.90     0.75    0.663
0.90     0.80    0.663
0.90     0.85    0.663
0.90     0.90    0.485
0.90     0.95    0.401
0.95     0.00    0.570
0.95     0.05    0.760
0.95     0.10    0.755
0.95     0.15    0.765
0.95     0.20    0.795
0.95     0.25    0.788
0.95     0.30    0.782
0.95     0.35    0.772
0.95     0.40    0.772
0.95     0.45    0.772
0.95     0.50    0.735
0.95     0.55    0.714
0.95     0.60    0.667
0.95     0.65    0.659
0.95     0.70    0.663
0.95     0.75    0.663
0.95     0.80    0.663
0.95     0.85    0.663
0.95     0.90    0.485
0.95     0.95    0.401
best_sup: 0.45, best_eps: 0.2, best_acc: 0.7946127946127947


tic-tac

sup    eps     acc
/Users/mikhail/hse/year_1/ordered_sets/big_hw/lazyfca15/mikhail_makarov/lazy.py:161: RuntimeWarning: invalid value encountered in true_divide
  NPV = float(TN) / (TN + FN)
0.00     0.00    0.640
0.00     0.05    0.640
0.00     0.10    0.640
0.00     0.15    0.640
0.00     0.20    0.640
0.00     0.25    0.640
0.00     0.30    0.640
0.00     0.35    0.640
0.00     0.40    0.640
0.00     0.45    0.640
0.00     0.50    0.640
0.00     0.55    0.640
0.00     0.60    0.640
0.00     0.65    0.640
0.00     0.70    0.640
0.00     0.75    0.640
0.00     0.80    0.640
0.00     0.85    0.640
0.00     0.90    0.640
0.00     0.95    0.640
0.05     0.00    0.933
0.05     0.05    0.640
0.05     0.10    0.640
0.05     0.15    0.640
0.05     0.20    0.640
0.05     0.25    0.640
0.05     0.30    0.640
0.05     0.35    0.640
0.05     0.40    0.640
0.05     0.45    0.640
0.05     0.50    0.640
0.05     0.55    0.640
0.05     0.60    0.640
0.05     0.65    0.640
0.05     0.70    0.640
0.05     0.75    0.640
0.05     0.80    0.640
0.05     0.85    0.640
0.05     0.90    0.640
0.05     0.95    0.640
0.10     0.00    0.941
0.10     0.05    0.773
0.10     0.10    0.644
0.10     0.15    0.640
0.10     0.20    0.640
0.10     0.25    0.640
0.10     0.30    0.640
0.10     0.35    0.640
0.10     0.40    0.640
0.10     0.45    0.640
0.10     0.50    0.640
0.10     0.55    0.640
0.10     0.60    0.640
0.10     0.65    0.640
0.10     0.70    0.640
0.10     0.75    0.640
0.10     0.80    0.640
0.10     0.85    0.640
0.10     0.90    0.640
0.10     0.95    0.640
0.15     0.00    0.941
0.15     0.05    0.752
0.15     0.10    0.698
0.15     0.15    0.656
0.15     0.20    0.640
0.15     0.25    0.640
0.15     0.30    0.640
0.15     0.35    0.640
0.15     0.40    0.640
0.15     0.45    0.640
0.15     0.50    0.640
0.15     0.55    0.640
0.15     0.60    0.640
0.15     0.65    0.640
0.15     0.70    0.640
0.15     0.75    0.640
0.15     0.80    0.640
0.15     0.85    0.640
0.15     0.90    0.640
0.15     0.95    0.640
0.20     0.00    0.941
0.20     0.05    0.752
0.20     0.10    0.664
0.20     0.15    0.682
0.20     0.20    0.647
0.20     0.25    0.637
0.20     0.30    0.638
0.20     0.35    0.638
0.20     0.40    0.640
0.20     0.45    0.640
0.20     0.50    0.640
0.20     0.55    0.640
0.20     0.60    0.640
0.20     0.65    0.640
0.20     0.70    0.640
0.20     0.75    0.640
0.20     0.80    0.640
0.20     0.85    0.640
0.20     0.90    0.640
0.20     0.95    0.640
0.25     0.00    0.941
0.25     0.05    0.752
0.25     0.10    0.666
0.25     0.15    0.572
0.25     0.20    0.488
0.25     0.25    0.442
0.25     0.30    0.591
0.25     0.35    0.610
0.25     0.40    0.643
0.25     0.45    0.640
0.25     0.50    0.640
0.25     0.55    0.640
0.25     0.60    0.640
0.25     0.65    0.640
0.25     0.70    0.640
0.25     0.75    0.640
0.25     0.80    0.640
0.25     0.85    0.640
0.25     0.90    0.640
0.25     0.95    0.640
0.30     0.00    0.941
0.30     0.05    0.752
0.30     0.10    0.666
0.30     0.15    0.572
0.30     0.20    0.488
0.30     0.25    0.503
0.30     0.30    0.627
0.30     0.35    0.633
0.30     0.40    0.651
0.30     0.45    0.641
0.30     0.50    0.640
0.30     0.55    0.640
0.30     0.60    0.640
0.30     0.65    0.640
0.30     0.70    0.640
0.30     0.75    0.640
0.30     0.80    0.640
0.30     0.85    0.640
0.30     0.90    0.640
0.30     0.95    0.640
0.35     0.00    0.941
0.35     0.05    0.752
0.35     0.10    0.666
0.35     0.15    0.572
0.35     0.20    0.488
0.35     0.25    0.503
0.35     0.30    0.627
0.35     0.35    0.633
0.35     0.40    0.651
0.35     0.45    0.647
0.35     0.50    0.640
0.35     0.55    0.640
0.35     0.60    0.640
0.35     0.65    0.640
0.35     0.70    0.640
0.35     0.75    0.640
0.35     0.80    0.640
0.35     0.85    0.640
0.35     0.90    0.640
0.35     0.95    0.640
0.40     0.00    0.941
0.40     0.05    0.752
0.40     0.10    0.666
0.40     0.15    0.572
0.40     0.20    0.488
0.40     0.25    0.503
0.40     0.30    0.657
0.40     0.35    0.646
0.40     0.40    0.654
0.40     0.45    0.654
0.40     0.50    0.654
0.40     0.55    0.654
0.40     0.60    0.654
0.40     0.65    0.654
0.40     0.70    0.654
0.40     0.75    0.654
0.40     0.80    0.654
0.40     0.85    0.654
0.40     0.90    0.654
0.40     0.95    0.654
0.45     0.00    0.941
0.45     0.05    0.752
